"Categorie";"Nom";"Date";"Description";"Media";"TypeMedia";"Contenu Supplémentaire";;;;;;;;;;;
"logiciel";"Éditeur de guide de montage";"Juin-Juillet 2026";"Création automatisée des guide de fabrication des productions.";"travail/2026_pointcarre/GammeFab/2026_GammeFabIcone.jpg";"image";;;;;;;;;
"logiciel";"EasyBizi";"Juin-Juillet 2026";"Gestionnaire de catalogue professionnel.";"travail/2026_pointcarre/EasyBizi/2026_EasyBiziIcone.jpg";"image";;;;;;;;;
"do";"Étui à lunettes";"Juin-Juillet 2026";"Conception d'un étui à lunettes pour la Fabrique Pointcarré.";"travail/2026_pointcarre/photo_etui-lunettes_juillet-2026/photo_etui_compo_carre.jpg";"image";;;;;;;;;;;;
"do";"Porte-monnaie à deux poches";"Juin 2026";"Conception d'un porte-monnaie à deux poches pour la Fabrique Pointcarré.";"travail/2026_pointcarre/photos_portemonnaie/IMG_20260710_195035.jpg";"image";;;;;;;;;;;;
"modelisation-3d jeu-video graphisme installation";"Fractalab";"2025-2026";"Les fractales sont une notion complexe et abstraite pour les non-scientifiques. Par le biais de l'art et du design, comment montrer et expliquer la place des fractales dans notre environnement ?";"travail/2026_fractalab/2026_fractalab_carre.jpg";"image";;;;;;;;;;;;
"jeu-video";"Chère Mamie...";"Mars 2026";"Jeu vidéo de type Platformer 2D créé pendant la Scientific Game Jam Online 2026.";"travail/2026_chere-mamie/vignette_finale.png";"image";;;;;;;;;;;;
"graphisme";"Les Métamorphoses du Parquet";"Juin 2025";"Design graphique de l'exposition.<br>Paris Design Week 2025. Fabrique Pointcarré × Fibois Île-de-France.";"travail/2025_MetamorphosesParquet/2025metamorphoses_affiche.jpg";"image";;;;;;;;;;;;
"graphisme edition do";"Nous, Perec, à la cité-jardin";"Juin 2025";"Graphisme de cette édition pour la ville du Pré-Saint-Gervais.<br>Matériaux et impression en collaboration avec La Fabrique Pointcarré.";"travail/2025_NousPerec/nousperec_couverture.jpg";"image";;;;;;;;;;;;
"logiciel";"ImposiPDF - outil d'imposition de pages";"Octobre 2025 - Janvier 2026";"Outil Python pour imposer les pages d’un PDF en format cahier.";"travail/2026_imposipdf/2026_imposipdfIcone.png";"image";;;;;;;;;
"photographie";"Photographie";"Décembre 2024 – Janvier 2025";"Deux séries photographiques autour de la fin d’année : ambiances de Noël et paysage enneigé hivernal.";"travail/2024_photo/DSC_0467.JPG";"image";;;;;;;;;;;;
