Categorie;Nom;Artiste;Date;Media;TypeMedia
webdesign;<a href"="https://supima.com/">Supima</a>;Développement marque : Jason L. THOMPSON, Marketing et promotions : Buxton S. MIDYETTE;2025;supima.mp4;video
graphisme;Compostion 41;The Oblivious Mind;2024;obliviousMind_compo41.jpeg;image
photo;Flamingone;Miles ASTRAY;2024;astrayMiles.jpeg;image
graphisme;Freeform;B-MOE;2024;moeB.jpg;image
graphisme;Emojization - Visual Communication with emojis;Deborah ENZMANN;2024;enzmannDeborah_emojization.jpg;image
jeu-ia-genart;Tera Nil;Free Lives;2023;freeLives_teraNil.jpg;image
graphisme;About Colour - 28;Camil GIRALT;2023;giraltCamil.jpeg;image
graphisme;The River;Yoon HYUP;2023;hyupYoon.jpg;image
photo DOE;The Last Play;Anni LAUKKA;2023;laukkaAnni.jpg;image
graphisme;Face to face;Lidia MASLORRENS;2023;maslorrensLidia.jpg;image
jeu-ia-genart graphisme;Chants of Senaar;Rundisc;2023;rundisc_chantsOfSenaar.jpg;image
photo;Metropolis;Alan SCHALLER;2023;schallerAlan.jpg;image
graphisme;Abstract vermilion;Evelyn SCHUBERT;2023;schubertEvelyn.jpg;image
graphisme photo;Heading to Moab;April SEELBACH;2023;seelbachApril.jpg;image
graphisme;Material Burst;Adrien JAQUEMENT;2022;jacquemetAdrien_materialburst.jpg;image
graphisme;Endless blues;Rozanne HERMELYN DI SILVESTRO;2022;hermelyndisilvestroRozanne.jpg;image
jeu-ia-genart;Potion Permit;MassHive Media;2022;masshiveMedia_potionPermit.jpg;image
jeu-ia-genart graphisme;Cult of the Lamb;Massive Monster;2022;massiveMonster_cultOfTheLamb.jpg;image
graphisme DOE;Lunch Time;Golsa GOLCHINI;2022;golchiniGolsa.jpeg;image
graphisme animation modelisation3D son;Jibaro;Alberto MIELGO;2022;mielgoAlberto.jpg;image
jeu-ia-genart;7 days to end with you;Lizardry;2022;;
graphisme animation modelisation3D son;Arcane;Christian LINKE, Marc MERILL, Brandon BECK, Jane CHUNG, Thomas VU;2021-2024;fortiche_arcane.jpg;image
textile;Fields of Reflections;Désiré MOHEB-ZANDI;2021;mohebzandiDesiree_fieldsofreflection.jpg;image
jeu-ia-genart graohisme;Please, Touch the Artwork;Développeurs : Thomas Waterzooi, Studio Waterzooi, Meynen Studio;2020;please-touch-the-artwork.jpg;image
graphisme animation;The Mountain of Sgaana;Producteur : Christopher AUCHTER;2020;sgaana.jpg;image
graphisme;ASCII Art;<a href="https://adelfaure.net/">Adel FAURE</a>;2019;faureAdel.png;
jeu-ia-genart;Lenia;Bert Wang-Chak CHAN;2019;chanBertWangChak_lenia.gif;image
jeu-ia-genart;Moonlighter;Digital Sun;2018;digitalSun_Moonlighter.jpg;image
jeu-ia-genart graphisme animation;Gris;Nomada Studio;2018;nomadaStudio_gris.jpg;image
graphisme litterature;The Evolution of Emoji<br />into a Language;Edgar WALTHERT;2018;edgarWalthert_TheEvolutionofEmojiintoaLanguage.jpeg;image
jeu-ia-genart;Dead Cells;Motion Twin;2017;motionTwin_deadCells.jpg;image
jeu-ia-genart;AlphaGo;Google DeepMind;2016;alphaGoVSLeeSe-Dol.jpeg;image
DOE;Pixel Forest;Pipilotti RIST;2016;ristPipilotti.jpg;image
graphisme;Premier Contact;Producteur : Denis VILLENEUVE;2016;villeneuveDenis_premierContact.png;image
DOE;La Matière Du Temps;Richard SERRA;2015;serraRichard_laMatiereDuTemps.jpg;image
webdesign;Spassky Fischer;Hugo ANGLADE, Thomas PETITJEAN et Antoine STEVENOT;2014;spasskyFischer.mp4;video
graphisme animation son;Le Chant de la Mer;Tomm MOORE;2014;mooreTomm.jpg;image
jeu-ia-genart graphisme;Monument Valley;Ustwo Games;2014;ustwoGames_monumentValley.jpeg;image
animation art-sciences;A Boy and His Atom;Réalisé par Nico Casavecchia, Production : 1st Ave Machine, Distribué par IBM Research;2013;a_boy_and_his_atom.jpg;image
photo DOE textile;Love is calling;Yayoi KUSAMA;Depuis 2012;kusamaYayoi.jpeg;image
;The Artist is present;Marina ABRAMOVIC;2010;abramovicMarina_theartistispresent.jpg;image
jeu-ia-genart art-sciences;Foldit;University of Washington, Center for Game Science;2008;foldit.jpg;image
photo textile;Grow on you;Bart HESS avec Lucy MCRAE;2007;hessBart.jpg;image
DOE;Cloud Gate;Anish KAPOOR;Depuis 2006;kapoorAnish_cloudGate.jpg;image
jeu-ia-genart;<a href="https://www.flickr.com/photos/solaas/albums/72157619406450092/">Mesh experiments</a>;Leonardo SOLAAS;Depuis 2006;solaasLeonardo_meshExperiments.jpg;image
jeu-ia-genart;<a href="https://www.flickr.com/photos/solaas/albums/72157613484932009/">Propagaciones 04</a>;Leonardo SOLAAS;Depuis 2006;solaasLeonardo_Propagaciones.jpg;image
graphisme DOE;Easy Fun;Lily VAN DER STOKKER;2003;vanderstokkerLily.jpg;image
litterature;Moi qui n'ai pas connu les hommes;Jacqueline HARPMAN;1995;harpmanJacqueline_moiQuiNaiPasConnuLesHommes.jpg;image
graphisme photo DOE;Cube avec lavis d'encre de couleur superposés (WD #746);Sol LEWITT;1994;lewittSol_WD746.jpg;image
graphisme animation son;Studio Ghibli;Producteurs : Hayao MIYAZAKI et Isao TAKAHATA;Depuis 1985;ghibli.jpeg;image
